question,facts,results,precision,recall
['What company involved in the development of Sherlock did Arthur Levinson work for?'],"['http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/developer,']","[' [        ""http://dbpedia.org/ontology/birthPlace"",         ""http://dbpedia.org/ontology/almaMater""    ]']",['0.0'],['0.0']
['Who produced the TV shows for Fremantle Media?'],"['http://dbpedia.org/property/company,http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/successor"    ]'],['0.0'],['0.0']
['What is the style of architecture of South Loop Printing House District ?'],"['http://dbpedia.org/ontology/architecturalStyle,']",[' [        "http://dbpedia.org/ontology/deathPlace"    ]'],['0.0'],['0.0']
['Whose provides the service of  Outlook and also products  such as Visual Studio?'],"['http://dbpedia.org/property/services,http://dbpedia.org/property/products,']",[],,
['Is Ombla originate in Croatia?'],"['http://dbpedia.org/ontology/sourceMountain,']",[' [        "http://dbpedia.org/ontology/routeStart"    ]'],['0.0'],['0.0']
['What is the nationality of Newin Chidchob ?'],"['http://dbpedia.org/property/nationality,']",[],,
['In which team did Dave Bing and Ron Reed started their basketball career?'],"['http://dbpedia.org/property/draftTeam,http://dbpedia.org/property/draftTeam,']",[],,
['Was Ganymede discovered by Galileo Galilei?'],"['http://dbpedia.org/property/discoverer,']",[],,
['List some musicians associated with famous guitar players?'],"['http://dbpedia.org/property/notableInstruments,http://dbpedia.org/ontology/associatedMusicalArtist,']",[],,
['What are the awards won by the producer of Elizabeth: The Golden Age?'],"['http://dbpedia.org/property/producer,http://dbpedia.org/property/awards,']",[],,
['With what company is the service OneDrive associated?'],"['http://dbpedia.org/property/services,http://dbpedia.org/ontology/Company,']",[],,
"[""Name the university whose affiliations's foundation place is Washington, D.C.?""]","['http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/property/affiliations,http://dbpedia.org/ontology/University,']",[' [        "http://dbpedia.org/property/place"    ]'],['0.0'],['0.0']
['Name presidents of the schools which have queen noor of Jordan as one of them ?'],"['http://dbpedia.org/ontology/president,http://dbpedia.org/property/president,http://dbpedia.org/ontology/School,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['1.0'],['1.0']
['Who appointed the governor under which Robert Witherspoon worked?'],"['http://dbpedia.org/ontology/governor,http://dbpedia.org/property/appointer,']",[' [        "http://dbpedia.org/ontology/governor"    ]'],['1.0'],['1.0']
["Who is the producer of the song which is the previous work of He's a Liar ?"],"['http://dbpedia.org/ontology/previousWork,http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/Song,']","[' [        ""http://dbpedia.org/ontology/producer"",         ""http://dbpedia.org/ontology/previousWork""    ]']",['1.0'],['1.0']
"['List the base currency of the country whose anthem is Oj, svijetla majska zoro.']","['http://dbpedia.org/ontology/anthem,http://dbpedia.org/property/currency,']",[' [        "http://dbpedia.org/ontology/anthem"    ]'],['1.0'],['1.0']
['Who gave the voice for Allen Walker ?'],"['http://dbpedia.org/ontology/voice,']",[' [        "http://dbpedia.org/ontology/voice"    ]'],['1.0'],['1.0']
['Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus?'],"['http://dbpedia.org/ontology/associate,http://dbpedia.org/ontology/associate,']",[' [        "http://dbpedia.org/ontology/associate"    ]'],['1.0'],['1.0']
['Which country has given citizenship to both saima chowdhury and edmund john?'],"['http://dbpedia.org/ontology/citizenship,http://dbpedia.org/ontology/citizenship,']","[' [        ""http://dbpedia.org/ontology/citizenship"",         ""http://dbpedia.org/ontology/nationality""    ]']",['1.0'],['1.0']
['Who is the person that first ascented the Cathedral Peak and Mount Hoffmann?'],"['http://dbpedia.org/ontology/firstAscentPerson,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['What university campuses are situated in Indiana?'],"['http://dbpedia.org/ontology/campus,http://dbpedia.org/ontology/University,']",[' [        "http://dbpedia.org/ontology/campus"    ]'],['1.0'],['1.0']
['Where is the swedish covenant hospital?'],"['http://dbpedia.org/ontology/location,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.5'],['1.0']
['Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee?'],"['http://dbpedia.org/ontology/composer,http://dbpedia.org/ontology/subsequentWork,']","[' [        ""http://dbpedia.org/ontology/composer"",         ""http://dbpedia.org/ontology/subsequentWork""    ]']",['1.0'],['1.0']
['What is the television show whose vocals are performed by  April Stewart and Mona Marshall?'],"['http://dbpedia.org/property/voices,http://dbpedia.org/property/voices,http://dbpedia.org/ontology/TelevisionShow,']",[],,
['Name the members of  boards of Freedom of the City and Trinity House?'],"['http://dbpedia.org/ontology/board,http://dbpedia.org/ontology/board,']",[' [        "http://dbpedia.org/ontology/board"    ]'],['1.0'],['1.0']
['Was Reza Amrollahi born in Iran?'],"['http://dbpedia.org/property/birthplace,']",[],,
['In which war did Roh Tae Woo and Lee Leffingwell fight?'],"['http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/battle,']",[' [        "http://dbpedia.org/ontology/battle"    ]'],['1.0'],['1.0']
['list  the producer of the movies in which Rosemarie DeWitt in the star cast?'],"['http://dbpedia.org/property/starring,http://dbpedia.org/property/producer,http://dbpedia.org/ontology/Film,']",[],,
['What can be cooked out of things belonging to the order Sapindales?'],"['http://dbpedia.org/ontology/order,http://dbpedia.org/ontology/ingredient,']",[' [        "http://dbpedia.org/ontology/order"    ]'],['1.0'],['1.0']
['How many  TV shows were made by someone who was associated with Lewis Hamilton?'],"['http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/property/creator,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/associatedBand"    ]'],['1.0'],['1.0']
['What is the city whose mayor is Giorgos Kaminis?'],"['http://dbpedia.org/property/mayor,http://dbpedia.org/ontology/AdministrativeRegion,']",[],,
['Name the alma mater of Michael hahn ?'],"['http://dbpedia.org/ontology/almaMater,']",[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.0'],['0.0']
['How many party leaders are there whose parties are headquartered in Berlin?'],"['http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader,http://dbpedia.org/ontology/Politician,']",[' [        "http://dbpedia.org/ontology/headquarter"    ]'],['1.0'],['1.0']
['How many total religions are followed by people whose hometown is somewhere in India?'],"['http://dbpedia.org/ontology/hometown,http://dbpedia.org/property/religion,']",[' [        "http://dbpedia.org/property/birthPlace"    ]'],['0.0'],['0.0']
['Who are the cast members of The Simpsons Ride?'],"['http://dbpedia.org/property/starring,']",[],,
['Which american football team  has stadium as O.co Coliseum?'],"['http://dbpedia.org/ontology/locationCity,http://dbpedia.org/ontology/AmericanFootballTeam,']",[],,
['List the products of Playboy Enterprises?'],"['http://dbpedia.org/property/products,']",[],,
['Did Gwo Ka originate in Western Africa?'],"['http://dbpedia.org/property/stylisticOrigins,']",[],,
['What are some artists on the show whose opening theme is Send It On?'],"['http://dbpedia.org/ontology/openingTheme,http://dbpedia.org/property/artist,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/openingTheme"    ]'],['1.0'],['1.0']
['Which company has a product named Visual Studio and One Drive as service ?'],"['http://dbpedia.org/property/services,http://dbpedia.org/property/products,http://dbpedia.org/ontology/Company,']",[],,
,,[],,
,,[],,
['Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot).'],"['http://dbpedia.org/property/commander,http://dbpedia.org/ontology/commander,']",[' [        "http://dbpedia.org/ontology/commander"    ]'],['1.0'],['1.0']
['Who is the player who plays for the team that has the Michigan Stadium?'],"['http://dbpedia.org/property/stadium,http://dbpedia.org/property/currentteam,http://dbpedia.org/ontology/Athlete,']",[' [        "http://dbpedia.org/ontology/stadium"    ]'],['0.5'],['1.0']
["Which country's leader is David Johnston?"],"['http://dbpedia.org/ontology/leader,http://dbpedia.org/ontology/Country,']",[' [        "http://dbpedia.org/ontology/leader"    ]'],['1.0'],['1.0']
['How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved?'],"['http://dbpedia.org/ontology/battle,http://dbpedia.org/property/combatant,http://dbpedia.org/ontology/MilitaryConflict,']",[],,
['Who is the leader of the town where the Myntdu river originates?'],"['http://dbpedia.org/ontology/origin,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/Town,']",[],,
['List the movies whose editors are born in London.'],"['http://dbpedia.org/property/placeOfBirth,http://dbpedia.org/ontology/editing,http://dbpedia.org/ontology/Film,']",[],,
"['What is the incumbent of the Al Gore presidential campaign, 2000 and also the president of the Ann Lewis ?']","['http://dbpedia.org/ontology/incumbent,http://dbpedia.org/ontology/president,']","[' [        ""http://dbpedia.org/ontology/president"",         ""http://dbpedia.org/ontology/incumbent""    ]']",['1.0'],['1.0']
['Which royal person married the successor of Darius I?'],"['http://dbpedia.org/property/predecessor,http://dbpedia.org/property/spouse,http://dbpedia.org/ontology/Royalty,']",[' [        "http://dbpedia.org/property/successor"    ]'],['0.0'],['0.0']
['What is the region of the Kim Sawchuk which is also served by the Airtours International Airways ?'],"['http://dbpedia.org/property/region,http://dbpedia.org/property/destinations,']",[],,
['Where was Antonio Giannini born?'],"['http://dbpedia.org/ontology/birthPlace,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['1.0'],['1.0']
['Where was David Scherman trained ?'],"['http://dbpedia.org/ontology/training,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['Which company offer service of Outlook.com and OneDrive?'],"['http://dbpedia.org/property/services,http://dbpedia.org/property/services,http://dbpedia.org/ontology/Company,']",[],,
['What is the province of Rouen Business School ?'],"['http://dbpedia.org/property/province,']",[],,
['What religions do politicians in the Korean Minjoo Party follow?'],"['http://dbpedia.org/ontology/party,http://dbpedia.org/ontology/religion,http://dbpedia.org/ontology/OfficeHolder,']",[' [        "http://dbpedia.org/ontology/party"    ]'],['1.0'],['1.0']
['Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?'],"['http://dbpedia.org/ontology/employer,http://dbpedia.org/ontology/employer,']",[' [        "http://dbpedia.org/ontology/employer"    ]'],['1.0'],['1.0']
"['What were the major actions taken by the politicians living in Gales Ferry, Connecticut?']","['http://dbpedia.org/ontology/residence,http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/Politician,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
"['Where was Live in Detroit, MI recorded ?']","['http://dbpedia.org/ontology/recordedIn,']",[' [        "http://dbpedia.org/ontology/artist"    ]'],['0.0'],['0.0']
['who all have been a manager of english under twenty one football team?'],"['http://dbpedia.org/property/managerclubs,']",[' [        "http://dbpedia.org/ontology/managerClub"    ]'],['0.0'],['0.0']
['Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?'],"['http://dbpedia.org/property/cities,http://dbpedia.org/property/outflow,http://dbpedia.org/ontology/Sea,']",[],,
['What awards have been won by the executive producer of Timmy Time ?'],"['http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/award,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['0.5'],['1.0']
['What is the district of Fort Heath radar station ?'],"['http://dbpedia.org/property/district,']",[],,
['What is the common nickname given both to Harding academy and Lyons township high school?'],"['http://dbpedia.org/property/nickname,http://dbpedia.org/property/nickname,']",[],,
"[""Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.""]","['http://dbpedia.org/property/ground,http://dbpedia.org/property/youthclubs,']",[],,
['What are some families of mammals in the animal kingdom?'],"['http://dbpedia.org/ontology/kingdom,http://dbpedia.org/ontology/family,http://dbpedia.org/ontology/Mammal,']",[' [        "http://dbpedia.org/ontology/kingdom"    ]'],['1.0'],['1.0']
['What is the profession of the Chris Myers (New Jersey) which is the governing body of Oahu Railway and Land Company ?'],"['http://dbpedia.org/ontology/profession,http://dbpedia.org/property/governingBody,']",[' [        "http://dbpedia.org/ontology/profession"    ]'],['1.0'],['1.0']
['Count all the different purposes followed by the different NGOs.'],"['http://dbpedia.org/property/type,http://dbpedia.org/property/purpose,']",[' [        "http://dbpedia.org/ontology/projectCoordinator"    ]'],['0.0'],['0.0']
["Which television show's developer is Brian Graden and voices to the character is by Isaac Hayes?"],"['http://dbpedia.org/property/developer,http://dbpedia.org/property/voices,http://dbpedia.org/ontology/TelevisionShow,']",[],,
['Did Steve Sampson manage a club of Santa Clara university'],"['http://dbpedia.org/ontology/managerClub,']",[' [        "http://dbpedia.org/property/club"    ]'],['0.0'],['0.0']
["What newspapers's owners is Schibsted"],"['http://dbpedia.org/property/owners,http://dbpedia.org/ontology/Newspaper,']",[' [        "http://dbpedia.org/property/owners"    ]'],['1.0'],['1.0']
['Which arena of WPC Dynamo Moscow is death location of Tigran Petrosian >'],"['http://dbpedia.org/property/arena,http://dbpedia.org/ontology/deathPlace,']",[' [        "http://dbpedia.org/property/country"    ]'],['0.0'],['0.0']
['List the name of the soccer clubs whose chairman is Joan Laporta.'],"['http://dbpedia.org/ontology/chairman,http://dbpedia.org/property/name,http://dbpedia.org/ontology/SoccerClub,']",[' [        "http://dbpedia.org/ontology/chairman"    ]'],['1.0'],['1.0']
['List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?'],"['http://dbpedia.org/ontology/layout,http://dbpedia.org/ontology/layout,http://dbpedia.org/ontology/Automobile,']","[' [        ""http://dbpedia.org/ontology/layout"",         ""http://purl.org/dc/terms/subject""    ]']",['1.0'],['1.0']
['In which time zone is Pong Pha?'],"['http://dbpedia.org/ontology/timeZone,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
['What is the alma mater of the Angela Trusty and Charles Ayres?'],"['http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/almaMater,']",[' [        "http://dbpedia.org/ontology/occupation"    ]'],['0.0'],['0.0']
"[""Which band had the members of The Conglomerate, and has made 'Before I let you go'?""]","['http://dbpedia.org/property/pastMembers,http://dbpedia.org/ontology/musicalArtist,']",[' [        "http://dbpedia.org/ontology/formerBandMember"    ]'],['0.0'],['0.0']
['What is the birth place of the cast of Lagnacha Dhumdhadaka?'],"['http://dbpedia.org/property/starring,http://dbpedia.org/property/placeOfBirth,']",[],,
['How many rivers start in an English speaking country?'],"['http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/sourceCountry,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
"[""What is the television show whose theme music composer's home town is El Sobrante, California?""]","['http://dbpedia.org/ontology/hometown,http://dbpedia.org/property/themeMusicComposer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/property/home"    ]'],['0.0'],['0.0']
["What  is the Nickname of Daniel O'Regan ?"],"['http://dbpedia.org/property/nickname,']",[],,
['Where are Aureus and Solidus used as currency?'],"['http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/currency,']",[' [        "http://dbpedia.org/ontology/currency"    ]'],['1.0'],['1.0']
['Music for what was made by someone who died of a cardiovascular disease?'],"['http://dbpedia.org/ontology/deathCause,http://dbpedia.org/property/music,']",[' [        "http://dbpedia.org/ontology/academicDiscipline"    ]'],['0.5'],['1.0']
['Was Tim Gunn a guest on The Broken Code?'],"['http://dbpedia.org/property/guests,']",[' [        "http://dbpedia.org/ontology/guest"    ]'],['0.0'],['0.0']
['In how many nations can I find dishes made of Shallot?'],"['http://dbpedia.org/ontology/ingredient,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Country,']",[' [        "http://dbpedia.org/property/note"    ]'],['0.0'],['0.0']
"['Who are some american football players whose high school is Oktoc, Mississippi?']","['http://dbpedia.org/property/highSchool,http://dbpedia.org/ontology/AmericanFootballPlayer,']",[],,
['What system is both a platform where Nord runs and also distributed The beauty inside?'],"['http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/distributor,']","[' [        ""http://dbpedia.org/ontology/distributor"",         ""http://dbpedia.org/ontology/computingPlatform""    ]']",['1.0'],['1.0']
['Is Tirana the largest city of Albania?'],"['http://dbpedia.org/property/largestCity,']",[],,
['Who were all the people in office when bob hawke was the PM?'],"['http://dbpedia.org/ontology/primeMinister,']",[' []'],['0.0'],['0.0']
['Name some shows whose company is owned by the CBS Corporation?'],"['http://dbpedia.org/ontology/owner,http://dbpedia.org/property/company,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/parentCompany"    ]'],['0.0'],['0.0']
['Which sports are played at institues in Taguig?'],"['http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/EducationalInstitution,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['Joe Hahn is the member of what band?'],"['http://dbpedia.org/property/currentMembers,http://dbpedia.org/ontology/Band,']",[],,
['Name the television show whose distributor is Comedy central and  the character voice is given by Isaac hayes ?'],"['http://dbpedia.org/property/distributor,http://dbpedia.org/property/voices,http://dbpedia.org/ontology/TelevisionShow,']",[],,
['Raymond Johansen is the mayor of what city?'],"['http://dbpedia.org/ontology/leaderName,']",[' [        "http://dbpedia.org/ontology/residence"    ]'],['0.0'],['0.0']
['What is the nation of the speedway league where Ikaros Smederna played?'],"['http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/SpeedwayLeague,']",[' [        "http://dbpedia.org/ontology/league"    ]'],['1.0'],['1.0']
['What are the kind of games one can play on windows?'],"['http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/VideoGame,']",[' [        "http://dbpedia.org/ontology/computingPlatform"    ]'],['1.0'],['1.0']
['Count the number of sports played by schools which play hockey ?'],"['http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/sport,']","[' [        ""http://dbpedia.org/property/athletics"",         ""http://dbpedia.org/ontology/sport""    ]']",['1.0'],['1.0']
['Who holds stock in the railway lines ending in Washington DC?'],"['http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/property/owner,http://dbpedia.org/ontology/RailwayLine,']",[' [        "http://dbpedia.org/ontology/routeEnd"    ]'],['0.5'],['0.5']
['Where is Temenos Group founded ?'],"['http://dbpedia.org/property/foundation,']",[],,
['What was the language of the single which came before To Know Him Is to Love Him?'],"['http://dbpedia.org/ontology/previousWork,http://dbpedia.org/property/language,']",[' [        "http://dbpedia.org/property/before"    ]'],['0.0'],['0.0']
['Where was the narrator of Spain on the Road Again born?'],"['http://dbpedia.org/ontology/narrator,http://dbpedia.org/property/birthPlace,']",[' [        "http://dbpedia.org/ontology/narrator"    ]'],['1.0'],['1.0']
