ID,question,facts,results,precision,recall
72,['In which programming language is GIMP written?'],["['http://dbpedia.org/ontology/programmingLanguage']"],[' [        "http://dbpedia.org/ontology/programmingLanguage"    ]'],['1.0'],['1.0']
73,['In which ancient empire could you pay with cocoa beans?'],["['http://dbpedia.org/ontology/currency']"],[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
74,['Who is the editor of Forbes?'],["['http://dbpedia.org/ontology/editor']"],[' [        "http://dbpedia.org/property/editor"    ]'],['0.5'],['1.0']
75,['How many people live in the capital of Australia?'],"[""['http://dbpedia.org/ontology/capital', 'http://dbpedia.org/ontology/populationTotal']""]",[' [        "http://dbpedia.org/ontology/capital"    ]'],['1.0'],['1.0']
76,['Which professional surfers were born in Australia?'],"[""['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/birthPlace']""]","[' [        ""http://dbpedia.org/ontology/birthPlace"",         ""http://dbpedia.org/property/birthPlace""    ]']",['0.5'],['0.5']
77,['Which electronics companies were founded in Beijing?'],"[""['http://dbpedia.org/ontology/industry', 'http://dbpedia.org/ontology/foundationPlace']""]","[' [        ""http://dbpedia.org/property/locationCity"",         ""http://dbpedia.org/ontology/locationCity""    ]']",['0.0'],['0.0']
78,['Give me all video games published by Mean Hamster Software.'],["['http://dbpedia.org/ontology/publisher']"],[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.0'],['0.0']
79,['How many Aldi stores are there?'],["['http://dbpedia.org/ontology/numberOfLocations']"],[' [        "http://dbpedia.org/ontology/type"    ]'],['0.0'],['0.0']
80,['What is the capital of Cameroon?'],["['http://dbpedia.org/ontology/capital']"],[' [        "http://dbpedia.org/ontology/capital"    ]'],['1.0'],['1.0']
82,['Was the wife of president Lincoln called Mary?'],[],[],,
83,['Give me all movies directed by Francis Ford Coppola.'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/director']""]",[' [        "http://dbpedia.org/property/production"    ]'],['0.0'],['0.0']
84,["Which of Tim Burton's films had the highest budget?"],"[""['http://dbpedia.org/ontology/director', 'http://dbpedia.org/ontology/budget']""]",[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.5'],['1.0']
85,['Does Breaking Bad have more episodes than Game of Thrones?'],[],[],,
86,['Who was called Rodzilla?'],["['http://dbpedia.org/property/nickname']"],[],,
87,['Was Natalie Portman born in the United States?'],"[""['http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/country']""]","[' [        ""http://dbpedia.org/property/wordnet_type"",         ""http://dbpedia.org/ontology/hasInsidePlace""    ]']",['0.0'],['0.0']
88,['Give me the grandchildren of Elvis Presley.'],"[""['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/child']""]","[' [        ""http://dbpedia.org/property/issue"",         ""http://dbpedia.org/ontology/parent""    ]']",['0.0'],['0.0']
89,['Which movies starring Mickey Rourke were directed by Guy Ritchie?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/director']""]","[' [        ""http://dbpedia.org/ontology/starring"",         ""http://dbpedia.org/ontology/academicDiscipline""    ]']",['0.5'],['0.5']
90,["When did Dracula's creator die?"],"[""['http://dbpedia.org/ontology/creator', 'http://dbpedia.org/ontology/deathDate']""]",[' [        "http://dbpedia.org/ontology/creator"    ]'],['1.0'],['1.0']
91,['Which country does the creator of Miffy come from?'],"[""['http://dbpedia.org/ontology/creator', 'http://dbpedia.org/ontology/nationality']""]",[' [        "http://dbpedia.org/ontology/creator"    ]'],['1.0'],['1.0']
92,["What is Batman's real name?"],["['http://dbpedia.org/property/alterEgo']"],[],,
93,['What form of government does Russia have?'],["['http://dbpedia.org/ontology/governmentType']"],[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
94,['How many companies were founded by the founder of Facebook?'],"[""['http://dbpedia.org/ontology/foundedBy', 'http://dbpedia.org/ontology/foundedBy']""]","[' [        ""http://dbpedia.org/ontology/parentCompany"",         ""http://dbpedia.org/ontology/keyPerson""    ]']",['0.666666666667'],['1.0']
95,['Give me all Canadian Grunge record labels.'],"[""['http://dbpedia.org/ontology/genre', 'http://dbpedia.org/ontology/country']""]","[' [        ""http://dbpedia.org/property/label"",         ""http://dbpedia.org/ontology/percentageOfAreaWater""    ]']",['0.0'],['0.0']
96,['How many children did Benjamin Franklin have?'],["['http://dbpedia.org/ontology/child']"],[' [        "http://dbpedia.org/ontology/child"    ]'],['1.0'],['1.0']
97,['List the children of Margaret Thatcher.'],["['http://dbpedia.org/ontology/child']"],[' [        "http://dbpedia.org/ontology/child"    ]'],['1.0'],['1.0']
98,['From which region is the Melon de Bourgogne?'],["['http://dbpedia.org/ontology/wineRegion']"],[' [        "http://dbpedia.org/ontology/wineRegion"    ]'],['1.0'],['1.0']
99,['Who is the oldest child of Meryl Streep?'],"[""['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/birthDate']""]","[' [        ""http://dbpedia.org/ontology/child"",         ""http://dbpedia.org/property/wordnet_type""    ]']",['0.5'],['0.5']
100,['Are tree frogs a type of amphibian?'],["['http://dbpedia.org/ontology/class']"],[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
101,['Is Christian Bale starring in Velvet Goldmine?'],["['http://dbpedia.org/ontology/starring']"],[' [        "http://dbpedia.org/ontology/starring"    ]'],['1.0'],['1.0']
102,['List all games by GMT.'],["['http://dbpedia.org/ontology/publisher']"],[' [        "http://dbpedia.org/ontology/publisher"    ]'],['1.0'],['1.0']
103,['Does the Isar flow into a lake?'],"[""['http://dbpedia.org/ontology/inflow', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#type']""]",[' [        "http://dbpedia.org/ontology/lake"    ]'],['0.0'],['0.0']
104,['Which airports does Yeti Airlines serve?'],["['http://dbpedia.org/ontology/targetAirport']"],[' [        "http://dbpedia.org/ontology/targetAirport"    ]'],['1.0'],['1.0']
105,['Which Indian company has the most employees?'],"[""['http://dbpedia.org/ontology/location', 'http://dbpedia.org/ontology/numberOfEmployees']""]",[],,
106,['What color expresses loyalty?'],["['http://dbpedia.org/ontology/connotation']"],[],,
107,['Which city has the most inhabitants?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/populationTotal']""]",[],,
108,['Who created Wikipedia?'],["['http://dbpedia.org/ontology/author']"],[' [        "http://dbpedia.org/ontology/author"    ]'],['1.0'],['1.0']
109,['Is Rita Wilson the wife of Tom Hanks?'],["['http://dbpedia.org/ontology/spouse']"],[' [        "http://dbpedia.org/ontology/spouse"    ]'],['1.0'],['1.0']
110,['Is the wife of president Obama called Michelle?'],[],[],,
111,['How many ethnic groups live in Slovenia?'],["['http://dbpedia.org/ontology/ethnicGroup']"],[' [        "http://dbpedia.org/ontology/anthem"    ]'],['0.0'],['0.0']
113,['Which films did Stanley Kubrick direct?'],["['http://dbpedia.org/ontology/director']"],[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.5'],['1.0']
114,['When was the Titanic completed?'],["['http://dbpedia.org/ontology/completionDate']"],[' [        "http://dbpedia.org/ontology/completionDate"    ]'],['1.0'],['1.0']
115,['How many pages does War and Peace have?'],["['http://dbpedia.org/ontology/numberOfPages']"],[' [        "http://dbpedia.org/property/origLangCode"    ]'],['0.5'],['1.0']
116,['Who is the youngest player in the Premier League?'],"[""['http://dbpedia.org/ontology/team', 'http://dbpedia.org/ontology/league', 'http://dbpedia.org/ontology/birthDate']""]","[' [        ""http://dbpedia.org/ontology/league"",         ""http://dbpedia.org/property/league""    ]']",['0.5'],['0.5']
117,['What is the highest mountain in Italy?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/locatedInArea', 'http://dbpedia.org/ontology/elevation']""]",[' [        "http://dbpedia.org/ontology/highestPosition"    ]'],['0.0'],['0.0']
118,['How tall is Claudia Schiffer?'],["['http://dbpedia.org/ontology/height']"],[' [        "http://dbpedia.org/property/signature"    ]'],['0.0'],['0.0']
119,["Who was John F. Kennedy's vice president?"],["['http://dbpedia.org/ontology/vicePresident']"],[' [        "http://dbpedia.org/ontology/vicePresident"    ]'],['1.0'],['1.0']
120,['Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?'],"[""['http://dbpedia.org/ontology/subsidiary', 'http://dbpedia.org/ontology/targetAirport', 'http://dbpedia.org/ontology/targetAirport']""]","[' [        ""http://dbpedia.org/ontology/subsidiary"",         ""http://dbpedia.org/property/parent"",         ""http://dbpedia.org/ontology/locationCity""    ]']",['0.333333333333'],['0.333333333333']
121,['Who was the successor of John F. Kennedy?'],["['http://dbpedia.org/ontology/successor']"],[' [        "http://dbpedia.org/ontology/successor"    ]'],['1.0'],['1.0']
122,["Who composed the soundtrack for Cameron's Titanic?"],["['http://dbpedia.org/ontology/musicComposer']"],[' [        "http://dbpedia.org/ontology/releaseLocation"    ]'],['0.0'],['0.0']
123,['Which movies did Kurosawa direct?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/director']""]",[' [        "http://dbpedia.org/ontology/creativeDirector"    ]'],['0.0'],['0.0']
124,['For which label did Elvis record his first album?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/artist', 'http://dbpedia.org/ontology/releaseDate', 'http://dbpedia.org/ontology/recordLabel']""]",[' [        "http://dbpedia.org/ontology/firstPublisher"    ]'],['0.0'],['0.0']
125,['In which time zone is Rome?'],["['http://dbpedia.org/ontology/timeZone']"],[' [        "http://dbpedia.org/ontology/timeZone"    ]'],['1.0'],['1.0']
126,['Give me the currency of China.'],["['http://dbpedia.org/ontology/currency']"],[' [        "http://dbpedia.org/ontology/currency"    ]'],['1.0'],['1.0']
127,['Who are the developers of DBpedia?'],["['http://dbpedia.org/ontology/developer']"],[' [        "http://dbpedia.org/ontology/developer"    ]'],['1.0'],['1.0']
128,["Does Abraham Lincoln's death place have a website?"],"[""['http://dbpedia.org/ontology/deathPlace', 'http://dbpedia.org/ontology/website']""]",[' [        "http://dbpedia.org/ontology/deathPlace"    ]'],['1.0'],['1.0']
129,['Who is the king of the Netherlands?'],["['http://dbpedia.org/ontology/leader']"],[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
130,['In which city did Nikos Kazantzakis die?'],["['http://dbpedia.org/ontology/deathPlace']"],[' [        "http://dbpedia.org/property/cityType"    ]'],['0.5'],['1.0']
131,['Who was the father of Queen Elizabeth II?'],["['http://dbpedia.org/property/father']"],[],,
132,['Give me a list of all critically endangered birds.'],[],[],,
133,['How many inhabitants does the largest city in Canada have?'],"[""['http://dbpedia.org/ontology/largestCity', 'http://dbpedia.org/ontology/populationTotal']""]","[' [        ""http://dbpedia.org/ontology/largestCity"",         ""http://dbpedia.org/ontology/leader""    ]']",['0.5'],['0.5']
134,['In which military conflicts did Lawrence of Arabia participate?'],["['http://dbpedia.org/ontology/battle']"],[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.0'],['0.0']
135,['Which book has the most pages?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/numberOfPages']""]",[],,
136,['In which country does the Nile start?'],["['http://dbpedia.org/ontology/sourceCountry']"],[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
137,['Who is the Formula 1 race driver with the most races?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/races']""]",[],,
138,['Which companies produce hovercrafts?'],["['http://dbpedia.org/ontology/product']"],[' [        "http://dbpedia.org/ontology/associatedBand"    ]'],['0.0'],['0.0']
139,['Did Elvis Presley have children?'],["['http://dbpedia.org/ontology/child']"],[' [        "http://dbpedia.org/ontology/child"    ]'],['1.0'],['1.0']
140,['In which city was the president of Montenegro born?'],"[""['http://dbpedia.org/property/office', 'http://dbpedia.org/ontology/birthPlace']""]",[' [        "http://dbpedia.org/ontology/city"    ]'],['0.5'],['1.0']
141,['Which country was Bill Gates born in?'],"[""['http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/country']""]",[' [        "http://dbpedia.org/ontology/birthName"    ]'],['0.0'],['0.0']
142,['In which countries do people speak Japanese?'],["['http://dbpedia.org/ontology/language']"],[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
143,['Show me the book that Muhammad Ali wrote.'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/author']""]",[' [        "http://dbpedia.org/ontology/type"    ]'],['0.0'],['0.0']
144,['Is Michelle Obama the wife of Barack Obama?'],["['http://dbpedia.org/ontology/spouse']"],[' [        "http://dbpedia.org/ontology/spouse"    ]'],['1.0'],['1.0']
145,['What is the area code of Berlin?'],["['http://dbpedia.org/ontology/areaCode']"],[' [        "http://dbpedia.org/ontology/areaCode"    ]'],['1.0'],['1.0']
146,['Give me all actors starring in Last Action Hero.'],["['http://dbpedia.org/ontology/starring']"],[' [        "http://dbpedia.org/ontology/starring"    ]'],['1.0'],['1.0']
147,['What are the nicknames of San Francisco?'],["['http://dbpedia.org/property/nickname']"],[],,
148,['What was the first Queen album?'],"[""['http://dbpedia.org/ontology/artist', 'http://dbpedia.org/ontology/releaseDate']""]",[' [        "http://dbpedia.org/property/note"    ]'],['0.0'],['0.0']
149,['Through which countries does the Yenisei river flow?'],["['http://dbpedia.org/property/country']"],[],,
150,['Which television shows were created by Walt Disney?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/creator']""]",[' [        "http://dbpedia.org/ontology/voice"    ]'],['0.0'],['0.0']
151,['What is the bridge with the longest span?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/mainspan']""]",[],,
152,['What country is Sitecore from?'],["['http://dbpedia.org/ontology/foundationPlace']"],[' [        "http://dbpedia.org/ontology/hometown"    ]'],['0.0'],['0.0']
153,['Whom did Lance Bass marry?'],["['http://dbpedia.org/ontology/spouse']"],[' [        "http://dbpedia.org/ontology/spouse"    ]'],['1.0'],['1.0']
154,['What is the capital of Canada?'],["['http://dbpedia.org/ontology/capital']"],[' [        "http://dbpedia.org/ontology/capital"    ]'],['1.0'],['1.0']
155,['Who was Vincent van Gogh inspired by?'],["['http://dbpedia.org/ontology/influenced']"],[' [        "http://dbpedia.org/ontology/deathCause"    ]'],['0.0'],['0.0']
156,['In which city did John F. Kennedy die?'],"[""['http://dbpedia.org/ontology/deathPlace', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#type']""]",[' [        "http://dbpedia.org/ontology/city"    ]'],['0.0'],['0.0']
157,['Was U.S. president Jackson involved in a war?'],["['http://dbpedia.org/ontology/battle']"],[' [        "http://dbpedia.org/property/president"    ]'],['0.0'],['0.0']
158,['Who wrote the Game of Thrones theme?'],["['http://dbpedia.org/ontology/composer']"],[' [        "http://dbpedia.org/ontology/writer"    ]'],['0.0'],['0.0']
159,['Who designed the Brooklyn Bridge?'],["['http://dbpedia.org/ontology/architect']"],[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.0'],['0.0']
160,['When did Boris Becker end his active career?'],["['http://dbpedia.org/ontology/activeYearsEndDate']"],[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.0'],['0.0']
161,['Which types of grapes grow in Oregon?'],["['http://dbpedia.org/ontology/growingGrape']"],[' [        "http://dbpedia.org/ontology/growingGrape"    ]'],['1.0'],['1.0']
162,['How tall is Michael Jordan?'],["['http://dbpedia.org/ontology/height']"],[' [        "http://dbpedia.org/property/number"    ]'],['0.0'],['0.0']
163,['To which party does the mayor of Paris belong?'],"[""['http://dbpedia.org/ontology/mayor', 'http://dbpedia.org/ontology/party']""]",[' [        "http://dbpedia.org/property/party"    ]'],['0.5'],['1.0']
