,question,facts,results,precesion,recall
18,['Name the tenant of Ever bank field which has also has player named Dan Shamash ?'],"['http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/tenant,']",[' [        "http://dbpedia.org/ontology/tenant"    ]'],['1.0'],['1.0']
19,['What is the largest city in the country where the San Marcos River originates?'],"['http://dbpedia.org/ontology/sourceMountain,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
20,['Give a list of all the labels that have jazz fusion artists signed up with them?'],"['http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/ontology/MusicalArtist,']","[' [        ""http://purl.org/dc/terms/subject"",         ""http://dbpedia.org/ontology/recordLabel""    ]']",['0.5'],['0.5']
21,['Which holy places did consider Pope Gregory I as a saint?'],"['http://dbpedia.org/property/veneratedIn,']",[],,
22,['List the religion of people in the Cambodian human rights party?'],"['http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/religion,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/party"    ]'],['0.5'],['1.0']
23,['Count the wars in which people awarded with the Croix de guerre fought.'],"['http://dbpedia.org/property/awards,http://dbpedia.org/property/battles,http://dbpedia.org/ontology/MilitaryConflict,']",[],,
24,['For which clubs do the players of Azam F.C. play for?'],"['http://dbpedia.org/property/name,http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/SoccerPlayer,']",[' [        "http://dbpedia.org/property/club"    ]'],['0.5'],['1.0']
25,"['Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi ?']","['http://dbpedia.org/property/locations,http://dbpedia.org/ontology/denomination,']","[' [        ""http://dbpedia.org/ontology/location"",         ""http://dbpedia.org/ontology/locationCountry""    ]']",['0.0'],['0.0']
26,['Name a  river with source country as Zambia and source location as Ikelenge  District?'],"['http://dbpedia.org/ontology/sourceCountry,http://dbpedia.org/property/sourceLocation,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/ontology/location"    ]'],['0.0'],['0.0']
27,['Which researchers received fellowship from Royal Society?'],"['http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,']",[' [        "http://dbpedia.org/property/societies"    ]'],['0.0'],['0.0']
28,['acer nigrum is used in making what?'],"['http://dbpedia.org/ontology/ingredient,']",[],,
29,['what are some famous people out of the Filipinos?'],"['http://dbpedia.org/ontology/stateOfOrigin,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
30,['To whom was Tessa Dahl born to?'],"['http://dbpedia.org/ontology/parent,']",[' [        "http://dbpedia.org/ontology/parent"    ]'],['1.0'],['1.0']
31,['Count the number of religions followed by the alumini of Ananda College.'],"['http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/religion,']",[' [        "http://dbpedia.org/ontology/owningOrganisation"    ]'],['0.0'],['0.0']
32,['Which city located on Mediterranean Sea is also the stadium of Panionios G.S.S. season ?'],"['http://dbpedia.org/property/stadium,http://dbpedia.org/property/cities,']",[],,
33,["What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth?"],"['http://dbpedia.org/ontology/source,http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/River,']","[' [        ""http://dbpedia.org/ontology/source"",         ""http://dbpedia.org/ontology/riverMouth""    ]']",['1.0'],['1.0']
34,['Who were in the youth clubs that were in season of 2015 Argentine Primera Division?'],"['http://dbpedia.org/ontology/season,http://dbpedia.org/property/youthclubs,']",[],,
35,['What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?'],"['http://dbpedia.org/property/cinematography,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/musicComposer"    ]'],['1.0'],['1.0']
36,"['From how many coutries do companies come, which are headquartered in the Klang Valley?']","['http://dbpedia.org/property/headquarters,http://dbpedia.org/property/country,http://dbpedia.org/ontology/Country,']",[],,
37,['Which parent organization of Get TV also owns the Galleria ?'],"['http://dbpedia.org/ontology/parentOrganisation,http://dbpedia.org/ontology/owner,']","[' [        ""http://dbpedia.org/ontology/owns"",         ""http://dbpedia.org/ontology/product""    ]']",['0.0'],['0.0']
38,['Who all have rented the stadium whose architect is Populous?'],"['http://dbpedia.org/property/architect,http://dbpedia.org/ontology/tenant,http://dbpedia.org/ontology/Stadium,']","[' [        ""http://dbpedia.org/property/architect"",         ""http://dbpedia.org/ontology/architect""    ]']",['0.666666666667'],['1.0']
39,['Which body governs over the place made by the chumash people?'],"['http://dbpedia.org/property/architect,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Place,']",[],,
40,['Which TV show developed by J. Michael Stracznski has artist as Christopher Franke ?'],"['http://dbpedia.org/property/artist,http://dbpedia.org/ontology/developer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/artist"    ]'],['0.5'],['1.0']
41,['Does the merlin express have a hub at the cibano international airport?'],"['http://dbpedia.org/ontology/hubAirport,']",[' [        "http://dbpedia.org/property/parent"    ]'],['0.0'],['0.0']
42,"['How many people live in Wilton, Connecticut?']","['http://dbpedia.org/property/residence,']",[],,
43,['For how many different teams have Ontarians been drafted ?'],"['http://dbpedia.org/property/placeOfBirth,http://dbpedia.org/ontology/draftTeam,']",[],,
44,['Which Fox  show is presented by Ryan Seacrest?'],"['http://dbpedia.org/ontology/presenter,http://dbpedia.org/property/channel,http://dbpedia.org/ontology/TelevisionShow,']","[' [        ""http://dbpedia.org/ontology/showJudge"",         ""http://dbpedia.org/ontology/successor""    ]']",['0.0'],['0.0']
45,['How many rivers are crossed by different Box Girder bridges?'],"['http://dbpedia.org/property/design,http://dbpedia.org/property/crosses,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/property/spanRange"    ]'],['0.0'],['0.0']
46,['What railway lines go through the stations maintained by Western Australian Public Transport Authority?'],"['http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/ontology/Station,']",[' [        "http://dbpedia.org/property/parent"    ]'],['0.0'],['0.0']
47,['What sporting goods companies are located in Herzogenaurach?'],"['http://dbpedia.org/property/location,']",[],,
48,['What genre of games are made by Blizzard Entertainment studios?'],"['http://dbpedia.org/ontology/developer,http://dbpedia.org/property/genre,http://dbpedia.org/ontology/VideoGame,']",[' [        "http://dbpedia.org/ontology/type"    ]'],['0.0'],['0.0']
49,['Who built the stadium which was rented by Costa Rica national football team?'],"['http://dbpedia.org/property/tenants,http://dbpedia.org/ontology/builder,http://dbpedia.org/ontology/Stadium,']",[' [        "http://dbpedia.org/ontology/stadium"    ]'],['0.0'],['0.0']
50,['Count all the scientologists.'],"['http://dbpedia.org/ontology/religion,']",[' [        "http://dbpedia.org/ontology/type"    ]'],['0.0'],['0.0']
51,['List the cast member of the movies whose producer is Mark Johnson.'],"['http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['1.0'],['1.0']
52,['In how many  territories were the wars fought where Fusil Gras Mile 1874 were used?'],"['http://dbpedia.org/ontology/usedInWar,http://dbpedia.org/ontology/territory,http://dbpedia.org/ontology/MilitaryConflict,']",[' [        "http://dbpedia.org/ontology/usedInWar"    ]'],['1.0'],['1.0']
53,['Where do the CNN employees typically graduate from?'],"['http://dbpedia.org/property/employer,http://dbpedia.org/ontology/almaMater,']",[],,
54,['Who has stock in the railway lines managed by Norfolk Southern Railway?'],"['http://dbpedia.org/property/system,http://dbpedia.org/property/owner,http://dbpedia.org/ontology/RailwayLine,']",[],,
55,['Do the asiana airlines fly  to Jeju airport?'],"['http://dbpedia.org/ontology/targetAirport,']",[' [        "http://dbpedia.org/ontology/headquarter"    ]'],['0.0'],['0.0']
56,['Which motion picture stories were edited by Ishir Honda?'],"['http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Film,']",[],,
57,["What is the location of death of the skier who was the bronze medalist of Alpine skiing at the 1964 Winter Olympics  Men's slalom ?"],"['http://dbpedia.org/ontology/bronzeMedalist,http://dbpedia.org/property/deathPlace,http://dbpedia.org/ontology/Skier,']",[],,
58,['Where all does the sister station of virgin radio play?'],"['http://dbpedia.org/ontology/sisterStation,http://dbpedia.org/property/location,']",[],,
59,['What is the affiliation of tani University ?'],"['http://dbpedia.org/property/affiliation,']",[],,
60,['Which rivers originate from Dowra?'],"['http://dbpedia.org/ontology/sourceMountain,']",[' [        "http://dbpedia.org/ontology/utcOffset"    ]'],['0.0'],['0.0']
61,['Who was the architect of the stadium currently run by the Pittsburgh Pirates?'],"['http://dbpedia.org/property/operator,http://dbpedia.org/property/architect,http://dbpedia.org/ontology/Stadium,']",[' [        "http://dbpedia.org/ontology/owner"    ]'],['0.0'],['0.0']
62,['How many TV shows have been created by Simon Fuller ?'],"['http://dbpedia.org/property/creator,http://dbpedia.org/ontology/TelevisionShow,']",[],,
63,['Did Henry Ford design the Model C?'],"['http://dbpedia.org/ontology/designCompany,']",[' [        "http://dbpedia.org/ontology/designCompany"    ]'],['1.0'],['1.0']
64,"['WHich region of the Providence Chapel, Charlwood is also the region of the Joseph Case High School']","['http://dbpedia.org/property/style,http://dbpedia.org/ontology/region,']",[' [        "http://dbpedia.org/ontology/region"    ]'],['1.0'],['1.0']
65,['Name the scientist whose supervisor was John Robert Woodyard and has won Norbert Wiener Award for Social and Professional Responsibility?'],"['http://dbpedia.org/property/doctoralAdvisor,http://dbpedia.org/property/prizes,http://dbpedia.org/ontology/Scientist,']",[],,
66,['Which branch of american military have both George Siebels jr and Leroy Collins served?'],"['http://dbpedia.org/property/branch,http://dbpedia.org/property/branch,http://dbpedia.org/ontology/MilitaryUnit,']",[],,
67,['What are some relatives of armymen who died in Germany?'],"['http://dbpedia.org/property/placeOfDeath,http://dbpedia.org/ontology/relation,http://dbpedia.org/ontology/MilitaryPerson,']",[' [        "http://dbpedia.org/ontology/spouse"    ]'],['0.0'],['0.0']
68,['What is the college of the baseball player who lives in Ashton Historic district?'],"['http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/college,http://dbpedia.org/ontology/BaseballPlayer,']",[],,
69,['Greater Napanee is the home town of what people?'],"['http://dbpedia.org/ontology/hometown,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/hometown"    ]'],['1.0'],['1.0']
70,['Name the company founded in US and provides OneDrive as service ?'],"['http://dbpedia.org/property/services,http://dbpedia.org/property/foundation,http://dbpedia.org/ontology/Company,']",[],,
71,['How many currencies are in used in places where people speak French?'],"['http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/Currency,']",[' [        "http://dbpedia.org/property/species"    ]'],['0.0'],['0.0']
72,"['What political party has governed both in Baraily,MP and Jowai?']","['http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/leaderName,']",[' [        "http://dbpedia.org/property/governingBody"    ]'],['0.0'],['0.0']
73,['Which officers fought in the war of Siege of Fort Recovery?'],"['http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/OfficeHolder,']",[' [        "http://dbpedia.org/ontology/battle"    ]'],['1.0'],['1.0']
74,['Was Duanne Allman known to play the Les Paul?'],"['http://dbpedia.org/property/notableInstruments,']",[' [        "http://dbpedia.org/property/instrument"    ]'],['0.0'],['0.0']
75,['For which other teams do members of tanzanian national football team play?'],"['http://dbpedia.org/property/nationalteam,http://dbpedia.org/ontology/team,']","[' [        ""http://dbpedia.org/property/nationalteam"",         ""http://dbpedia.org/ontology/team""    ]']",['1.0'],['1.0']
76,['What is Jon Speelman famous for?'],"['http://dbpedia.org/ontology/field,']",[' [        "http://dbpedia.org/ontology/notableStudent"    ]'],['0.0'],['0.0']
77,['tonle sap flows into which river?'],"['http://dbpedia.org/ontology/rightTributary,']",[],,
78,['List some teammates of Ndonga Mianga?'],"['http://dbpedia.org/ontology/currentMember,http://dbpedia.org/property/name,']",[' [        "http://dbpedia.org/ontology/spouse"    ]'],['0.0'],['0.0']
79,"['Give me a count of everything under the archipelago, where Papeete is the biggest town.']","['http://dbpedia.org/ontology/largestCity,http://dbpedia.org/property/archipelago,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
80,"['Where is Benjamin Franklin Terry buried, and US Route 59 has a junction?']","['http://dbpedia.org/property/placeofburial,http://dbpedia.org/property/junction,']",[],,
81,['Where were the doctoral students of James Langer born?'],"['http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/property/placeOfBirth,']",[' [        "http://dbpedia.org/ontology/doctoralStudent"    ]'],['1.0'],['1.0']
82,['Was A foreign policy on freedom covered by John Trumbull?'],"['http://dbpedia.org/property/coverArtist,']",[],,
83,["What company's leader is Edwin Catmull?"],"['http://dbpedia.org/property/keyPeople,http://dbpedia.org/ontology/Company,']",[],,
84,['What are some companies which are founded in Dallas Jurisdiction?'],"['http://dbpedia.org/property/governingBody,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/ontology/Company,']",[' [        "http://dbpedia.org/property/founded"    ]'],['0.0'],['0.0']
85,['Which philosophy journal has compiler as Stephen Law ?'],"['http://dbpedia.org/property/editor,http://dbpedia.org/property/discipline,http://dbpedia.org/ontology/AcademicJournal,']",[' [        "http://dbpedia.org/ontology/wikiPageRevisionID"    ]'],['0.0'],['0.0']
86,['In which country is there a political party whose leader is Jose Cha Cha Jimenez?'],"['http://dbpedia.org/property/leader,http://dbpedia.org/property/international,http://dbpedia.org/ontology/PoliticalParty,']",[],,
87,['Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?'],"['http://dbpedia.org/property/nickname,http://dbpedia.org/property/mascot,']",[],,
88,['Give me some series related to the one which had Yasmin Paige in them.'],"['http://dbpedia.org/property/starring,http://dbpedia.org/ontology/related,http://dbpedia.org/ontology/TelevisionShow,']",[],,
89,['With whom is Heinz Kokott a relative to who also served Nazi Army?'],"['http://dbpedia.org/ontology/relation,']",[' [        "http://dbpedia.org/ontology/relative"    ]'],['0.5'],['1.0']
90,['What are the towns who have Thesaban system?'],"['http://dbpedia.org/property/settlementType,http://dbpedia.org/ontology/Town,']",[],,
91,["Which TV show's  opening theme is The Best of Both Worlds (song) and executive producer is Steven Peterman?"],"['http://dbpedia.org/ontology/openingTheme,http://dbpedia.org/property/executiveProducer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['0.5'],['1.0']
92,['Paul Morphy compiled journals of which field?'],"['http://dbpedia.org/property/editor,http://dbpedia.org/property/discipline,']",[],,
93,['In which city is Corringham railway station located?'],"['http://dbpedia.org/property/borough,']",[],,
94,['Did stan lee narrate the incredible hulk tv show?'],"['http://dbpedia.org/ontology/narrator,']",[' [        "http://dbpedia.org/ontology/stateDelegate"    ]'],['0.0'],['0.0']
95,['Where do the sister stations of Al Khaleejiya 100.9 play?'],"['http://dbpedia.org/property/sisterStations,http://dbpedia.org/property/location,']",[],,
96,['Which sports are played in schools affiliated with the Harvest Christian Center?'],"['http://dbpedia.org/property/religiousAffiliation,http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/School,']",[],,
97,"['What is common between sports played at Fr Agnel School and Jr college, and the genre of Virtual Kasparov?']","['http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/sport,']","[' [        ""http://dbpedia.org/ontology/genre"",         ""http://dbpedia.org/ontology/sport""    ]']",['1.0'],['1.0']
98,['How many different genres of games are produced by Blizzard?'],"['http://dbpedia.org/ontology/developer,http://dbpedia.org/property/genre,']",[' [        "http://dbpedia.org/property/director"    ]'],['0.0'],['0.0']
99,['List the people who were born in Gelnhausen and graduated from Pepperdine University?'],"['http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/property/education,http://dbpedia.org/ontology/Person,']","[' [        ""http://dbpedia.org/ontology/country"",         ""http://dbpedia.org/property/country""    ]']",['0.0'],['0.0']
100,['Who was in conflicts of Fort Barrancas and Gadsden?'],"['http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/battle,']",[' [        "http://dbpedia.org/property/data"    ]'],['0.0'],['0.0']
101,['Which university was attended by both Richard H Immerman and Franklin W Olin?'],"['http://dbpedia.org/property/education,http://dbpedia.org/property/education,']",[],,
102,['Name someone known for a project involved in the Occupation of Japan?'],"['http://dbpedia.org/ontology/battle,http://dbpedia.org/property/knownFor,']",[' [        "http://dbpedia.org/property/country"    ]'],['0.5'],['1.0']
103,['What are Monrow Carell Jr Children Hospital and Vanderbilt University Medical Center both affiliated with?'],"['http://dbpedia.org/property/affiliation,http://dbpedia.org/property/affiliation,']",[],,
104,['What are some cars which came before the ones on a GM B base?'],"['http://dbpedia.org/ontology/automobilePlatform,http://dbpedia.org/ontology/predecessor,http://dbpedia.org/ontology/Automobile,']","[' [        ""http://dbpedia.org/ontology/automobilePlatform"",         ""http://dbpedia.org/ontology/successor""    ]']",['0.666666666667'],['1.0']
105,['What is the awards given to the horse whose grandson is the famous Counterpoint?'],"['http://dbpedia.org/property/grandsire,http://dbpedia.org/ontology/honours,http://dbpedia.org/ontology/Horse,']",[],,
106,['what kind of games can I find for PC 9800?'],"['http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/property/genre,http://dbpedia.org/ontology/VideoGame,']",[' [        "http://xmlns.com/foaf/0.1/primaryTopic"    ]'],['0.0'],['0.0']
107,['Count all the ethinic group who speaks language which belongs to Anglo-Frisian language family ?'],"['http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/property/languages,http://dbpedia.org/ontology/EthnicGroup,']",[' [        "http://dbpedia.org/ontology/languageFamily"    ]'],['1.0'],['1.0']
108,['Name all those whose spouses have performed with Tony Bennett?'],"['http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/ontology/spouse,']","[' [        ""http://dbpedia.org/ontology/spouse"",         ""http://dbpedia.org/ontology/producer""    ]']",['0.5'],['0.5']
109,['What are the books written by the the person who made the Novelas ejemplares?'],"['http://dbpedia.org/ontology/notableWork,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,']","[' [        ""http://dbpedia.org/property/country"",         ""http://dbpedia.org/ontology/writer""    ]']",['0.333333333333'],['0.5']
110,['Whos a famous relative of anne spielberg?'],"['http://dbpedia.org/ontology/relation,']",[' [        "http://dbpedia.org/ontology/relative"    ]'],['0.5'],['1.0']
111,['Name the TV show whose network is NBC and is the subsequent work of Fraiser ?'],"['http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/ontology/TelevisionShow,']","[' [        ""http://dbpedia.org/property/network"",         ""http://dbpedia.org/ontology/network""    ]']",['0.666666666667'],['1.0']
112,['Where is the grave of Ivan III of Russia ?'],"['http://dbpedia.org/property/placeOfBurial,']",[],,
113,['how many companies are located in a spanish speaking region?'],"['http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/Organisation,']",[' [        "http://dbpedia.org/ontology/region"    ]'],['0.0'],['0.0']
114,['What are some US citizens famous for?'],"['http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/knownFor,']",[],,
115,['Which genre of books are published by Random House?'],"['http://dbpedia.org/property/publisher,http://dbpedia.org/property/subject,http://dbpedia.org/ontology/Book,']",[' [        "http://dbpedia.org/property/published"    ]'],['0.0'],['0.0']
116,['Name the office holder whose child is Lori Black and predecessor is Henry E. Catto Jr ?'],"['http://dbpedia.org/property/children,http://dbpedia.org/ontology/predecessor,http://dbpedia.org/ontology/OfficeHolder,']",[],,
117,['How many golf players are there in Arizona State Sun Devils ?'],"['http://dbpedia.org/ontology/college,http://dbpedia.org/ontology/GolfPlayer,']",[' [        "http://dbpedia.org/ontology/college"    ]'],['1.0'],['1.0']
118,['Which rivers start in Wyoming?'],"['http://dbpedia.org/ontology/sourceRegion,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
119,"['What country is Jeffrey Werleman from, which also has the American Mediterranean Sea?']","['http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/country,']","[' [        ""http://dbpedia.org/ontology/country"",         ""http://dbpedia.org/ontology/team""    ]']",['0.5'],['0.5']
120,['The Prime minister who worked in the Khmer Issarak follows which religion?'],"['http://dbpedia.org/ontology/militaryBranch,http://dbpedia.org/ontology/religion,http://dbpedia.org/ontology/PrimeMinister,']",[' [        "http://dbpedia.org/property/country"    ]'],['0.0'],['0.0']
121,['List the other members of the team where Jason Hayne currently plays?'],"['http://dbpedia.org/ontology/currentMember,http://dbpedia.org/property/name,http://dbpedia.org/ontology/OrganisationMember,']",[' [        "http://dbpedia.org/ontology/currentMember"    ]'],['1.0'],['1.0']
122,['List the newspapers whose offices are situated in 1211 Avenue of the Americas?'],"['http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/Newspaper,']",[' [        "http://dbpedia.org/ontology/location"    ]'],['0.0'],['0.0']
123,["Name the sitcoms whose network's owning company is Chris-Craft Industries?"],"['http://dbpedia.org/ontology/owningCompany,http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/owningCompany"    ]'],['1.0'],['1.0']
124,['Which astronauts went on the Gemini 8 mission?'],"['http://dbpedia.org/property/mission,http://dbpedia.org/ontology/Astronaut,']",[],,
125,['How many developers have games where I can hear Lightning McQueen?'],"['http://dbpedia.org/ontology/voice,http://dbpedia.org/ontology/developer,']","[' [        ""http://dbpedia.org/ontology/developer"",         ""http://xmlns.com/foaf/0.1/givenName""    ]']",['0.5'],['0.5']
126,['Does Caroline Augusta Foley Rhys Davids study Buddhism?'],"['http://dbpedia.org/ontology/field,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
127,"['In how many other states do people live, whose languages are spoken in Nebraska?']","['http://dbpedia.org/ontology/language,http://dbpedia.org/property/region,']","[' [        ""http://dbpedia.org/ontology/language"",         ""http://dbpedia.org/property/states""    ]']",['0.5'],['0.5']
128,"['Who founded the city where First Church of Christ, Scientist is located?']","['http://dbpedia.org/property/locationTown,http://dbpedia.org/ontology/founder,']",[],,
129,['Name the team for which Cam Plante played for which were also the tenants of MasterCard center ?'],"['http://dbpedia.org/property/playedFor,http://dbpedia.org/property/tenants,']",[' [        "http://dbpedia.org/property/tenants"    ]'],['1.0'],['1.0']
130,['Where is Carmel Winery?'],"['http://dbpedia.org/property/locationCountry,']",[],,
131,['List the stadium of the teams which uses Nea Smyrni  as one of the stadium ?'],"['http://dbpedia.org/property/stadium,http://dbpedia.org/property/stadium,']","[' [        ""http://dbpedia.org/property/stadium"",         ""http://dbpedia.org/ontology/homeStadium""    ]']",['1.0'],['1.0']
132,["What awards have been awarded both to Ingmar bergman and James O'Brien?"],"['http://dbpedia.org/property/awards,http://dbpedia.org/ontology/award,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['1.0'],['1.0']
133,['List the colonel with branch as Militia ?'],"['http://dbpedia.org/property/branch,http://dbpedia.org/property/rank,']",[' [        "http://dbpedia.org/ontology/relative"    ]'],['0.0'],['0.0']
134,['How many companies are located in Toronto ?'],"['http://dbpedia.org/ontology/locationCity,http://dbpedia.org/ontology/Company,']",[' [        "http://dbpedia.org/ontology/location"    ]'],['0.0'],['0.0']
135,['Name the chairman of the soccer club for which Mike Salmon currently plays?'],"['http://dbpedia.org/property/currentclub,http://dbpedia.org/property/chairman,http://dbpedia.org/ontology/SoccerClub,']",[],,
136,['Who is a successor of Kingship whose parents were Julius Caesar?'],"['http://dbpedia.org/ontology/parent,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Royalty,']","[' [        ""http://dbpedia.org/ontology/successor"",         ""http://dbpedia.org/ontology/parent""    ]']",['1.0'],['1.0']
137,['Who wrote the musical based on Mary Poppins?'],"['http://dbpedia.org/ontology/basedOn,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Musical,']",[' [        "http://dbpedia.org/ontology/basedOn"    ]'],['1.0'],['1.0']
138,['Which fields are covered by academic journals in the US?'],"['http://dbpedia.org/property/country,http://dbpedia.org/property/discipline,http://dbpedia.org/ontology/AcademicJournal,']",[],,
