ID,question,facts,results,precision,recall,F-score,,,
10033,['What university campuses are situated in Indiana?'],"['http://dbpedia.org/ontology/campus,http://dbpedia.org/ontology/University,']",[' [        "http://dbpedia.org/ontology/campus"    ]'],['1.0'],['1.0'],,,,
10034,['Where is the swedish covenant hospital?'],"['http://dbpedia.org/ontology/location,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.5'],['1.0'],,,,
10035,['Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee?'],"['http://dbpedia.org/ontology/composer,http://dbpedia.org/ontology/subsequentWork,']","[' [        ""http://dbpedia.org/ontology/composer"",         ""http://dbpedia.org/ontology/subsequentWork""    ]']",['1.0'],['1.0'],,,,
10036,['Name the members of  boards of Freedom of the City and Trinity House?'],"['http://dbpedia.org/ontology/board,http://dbpedia.org/ontology/board,']",[' [        "http://dbpedia.org/ontology/board"    ]'],['1.0'],['1.0'],,,,
10037,['Was Reza Amrollahi born in Iran?'],"['http://dbpedia.org/property/birthplace,']",[],,,,,,
10038,['In which war did Roh Tae Woo and Lee Leffingwell fight?'],"['http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/battle,']",[' [        "http://dbpedia.org/ontology/battle"    ]'],['1.0'],['1.0'],,,,
10039,['What can be cooked out of things belonging to the order Sapindales?'],"['http://dbpedia.org/ontology/order,http://dbpedia.org/ontology/ingredient,']",[' [        "http://dbpedia.org/ontology/order"    ]'],['1.0'],['1.0'],,,,
10040,['How many  TV shows were made by someone who was associated with Lewis Hamilton?'],"['http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/property/creator,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/associatedBand"    ]'],['1.0'],['1.0'],,,,
10041,['Name the alma mater of Michael hahn ?'],"['http://dbpedia.org/ontology/almaMater,']",[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.0'],['0.0'],,,,
10042,['How many party leaders are there whose parties are headquartered in Berlin?'],"['http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader,http://dbpedia.org/ontology/Politician,']",[' [        "http://dbpedia.org/ontology/headquarter"    ]'],['1.0'],['1.0'],,,,
10043,['How many total religions are followed by people whose hometown is somewhere in India?'],"['http://dbpedia.org/ontology/hometown,http://dbpedia.org/property/religion,']",[' [        "http://dbpedia.org/property/birthPlace"    ]'],['0.0'],['0.0'],,,,
10044,['Did Gwo Ka originate in Western Africa?'],"['http://dbpedia.org/property/stylisticOrigins,']",[],,,,,,
10045,['Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot).'],"['http://dbpedia.org/property/commander,http://dbpedia.org/ontology/commander,']",[' [        "http://dbpedia.org/ontology/commander"    ]'],['1.0'],['1.0'],,,,
10046,["Which country's leader is David Johnston?"],"['http://dbpedia.org/ontology/leader,http://dbpedia.org/ontology/Country,']",[' [        "http://dbpedia.org/ontology/leader"    ]'],['1.0'],['1.0'],,,,
10047,['How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved?'],"['http://dbpedia.org/ontology/battle,http://dbpedia.org/property/combatant,http://dbpedia.org/ontology/MilitaryConflict,']",[],,,,,,
10048,['Where was Antonio Giannini born?'],"['http://dbpedia.org/ontology/birthPlace,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['1.0'],['1.0'],,,,
10049,['Where was David Scherman trained ?'],"['http://dbpedia.org/ontology/training,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0'],,,,
10050,['What religions do politicians in the Korean Minjoo Party follow?'],"['http://dbpedia.org/ontology/party,http://dbpedia.org/ontology/religion,http://dbpedia.org/ontology/OfficeHolder,']",[' [        "http://dbpedia.org/ontology/party"    ]'],['1.0'],['1.0'],,,,
10051,['Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?'],"['http://dbpedia.org/ontology/employer,http://dbpedia.org/ontology/employer,']",[' [        "http://dbpedia.org/ontology/employer"    ]'],['1.0'],['1.0'],,,,
10052,"['What were the major actions taken by the politicians living in Gales Ferry, Connecticut?']","['http://dbpedia.org/ontology/residence,http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/Politician,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0'],,,,
10053,"['Where was Live in Detroit, MI recorded ?']","['http://dbpedia.org/ontology/recordedIn,']",[' [        "http://dbpedia.org/ontology/artist"    ]'],['0.0'],['0.0'],,,,
10054,['who all have been a manager of english under twenty one football team?'],"['http://dbpedia.org/property/managerclubs,']",[' [        "http://dbpedia.org/ontology/managerClub"    ]'],['0.0'],['0.0'],,,,
10055,['What awards have been won by the executive producer of Timmy Time ?'],"['http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/award,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['0.5'],['1.0'],,,,
10056,"[""Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.""]","['http://dbpedia.org/property/ground,http://dbpedia.org/property/youthclubs,']",[],,,,,,
10057,['What are some families of mammals in the animal kingdom?'],"['http://dbpedia.org/ontology/kingdom,http://dbpedia.org/ontology/family,http://dbpedia.org/ontology/Mammal,']",[' [        "http://dbpedia.org/ontology/kingdom"    ]'],['1.0'],['1.0'],,,,
10058,['Count all the different purposes followed by the different NGOs.'],"['http://dbpedia.org/property/type,http://dbpedia.org/property/purpose,']",[' [        "http://dbpedia.org/ontology/projectCoordinator"    ]'],['0.0'],['0.0'],,,,
,,,,,,,,,
10060,['Did Steve Sampson manage a club of Santa Clara university'],"['http://dbpedia.org/ontology/managerClub,']",[' [        "http://dbpedia.org/property/club"    ]'],['0.0'],['0.0'],,,,
10061,['List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?'],"['http://dbpedia.org/ontology/layout,http://dbpedia.org/ontology/layout,http://dbpedia.org/ontology/Automobile,']","[' [        ""http://dbpedia.org/ontology/layout"",         ""http://purl.org/dc/terms/subject""    ]']",['1.0'],['1.0'],,,,
10062,['In which time zone is Pong Pha?'],"['http://dbpedia.org/ontology/timeZone,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0'],,,,
10063,['What is the alma mater of the Angela Trusty and Charles Ayres?'],"['http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/almaMater,']",[' [        "http://dbpedia.org/ontology/occupation"    ]'],['0.0'],['0.0'],,,,
10064,['How many rivers start in an English speaking country?'],"['http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/sourceCountry,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0'],,,,
10065,['Where are Aureus and Solidus used as currency?'],"['http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/currency,']",[' [        "http://dbpedia.org/ontology/currency"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
10067,['Was Tim Gunn a guest on The Broken Code?'],"['http://dbpedia.org/property/guests,']",[' [        "http://dbpedia.org/ontology/guest"    ]'],['0.0'],['0.0'],,,,
10068,['In how many nations can I find dishes made of Shallot?'],"['http://dbpedia.org/ontology/ingredient,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Country,']",[' [        "http://dbpedia.org/property/note"    ]'],['0.0'],['0.0'],,,,
10069,['What system is both a platform where Nord runs and also distributed The beauty inside?'],"['http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/distributor,']","[' [        ""http://dbpedia.org/ontology/distributor"",         ""http://dbpedia.org/ontology/computingPlatform""    ]']",['1.0'],['1.0'],,,,
10070,['Is Tirana the largest city of Albania?'],"['http://dbpedia.org/property/largestCity,']",[],,,,,,
,,,,,,,,,
10072,['Who were all the people in office when bob hawke was the PM?'],"['http://dbpedia.org/ontology/primeMinister,']",[' []'],['0.0'],['0.0'],,,,
10073,['Which sports are played at institues in Taguig?'],"['http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/EducationalInstitution,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0'],,,,
10074,['Raymond Johansen is the mayor of what city?'],"['http://dbpedia.org/ontology/leaderName,']",[' [        "http://dbpedia.org/ontology/residence"    ]'],['0.0'],['0.0'],,,,
10075,['What is the nation of the speedway league where Ikaros Smederna played?'],"['http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/SpeedwayLeague,']",[' [        "http://dbpedia.org/ontology/league"    ]'],['1.0'],['1.0'],,,,
10076,['What are the kind of games one can play on windows?'],"['http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/VideoGame,']",[' [        "http://dbpedia.org/ontology/computingPlatform"    ]'],['1.0'],['1.0'],,,,
10077,['Count the number of sports played by schools which play hockey ?'],"['http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/sport,']","[' [        ""http://dbpedia.org/property/athletics"",         ""http://dbpedia.org/ontology/sport""    ]']",['1.0'],['1.0'],,,,
10078,['What is the common school of Chris Marve and Neria Douglass?'],"['http://dbpedia.org/ontology/school,http://dbpedia.org/ontology/almaMater,']","[' [        ""http://dbpedia.org/property/school"",         ""http://dbpedia.org/ontology/school""    ]']",['0.5'],['0.5'],,,,
,,,,,,,,,
10080,['Rivers from which countries flow into the Caspian?'],"['http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/sourceCountry,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0'],,,,
10081,"['Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense?']","['http://dbpedia.org/ontology/garrison,http://dbpedia.org/ontology/commandStructure,http://dbpedia.org/ontology/MilitaryUnit,']","[' [        ""http://dbpedia.org/ontology/garrison"",         ""http://dbpedia.org/ontology/militaryBranch""    ]']",['0.5'],['0.5'],,,,
10082,['what are some devices made by asus?'],"['http://dbpedia.org/ontology/manufacturer,http://dbpedia.org/ontology/InformationAppliance,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['0.0'],['0.0'],,,,
10083,['Count the number of people who graduated from universities affiliated with the NCAA.'],"['http://dbpedia.org/ontology/athletics,http://dbpedia.org/property/education,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/property/free"    ]'],['0.0'],['0.0'],,,,
10084,['Is Queen Latifah associated with Afrika Baby Bam?'],"['http://dbpedia.org/ontology/associatedBand,']",[' [        "http://dbpedia.org/ontology/associatedBand"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10088,['Name the major shrine of Bogumilus?'],"['http://dbpedia.org/ontology/majorShrine,']",[' [        "http://dbpedia.org/ontology/majorShrine"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10092,['How many battles have involved commanders of 1st Free French Division?'],"['http://dbpedia.org/property/notableCommanders,http://dbpedia.org/property/battles,']",[],,,,,,
10093,['Count the number of cities on the Mediterranean Sea?'],"['http://dbpedia.org/property/cities,']",[],,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10097,['Was Jack Ryan a nominee of US Senate?'],"['http://dbpedia.org/ontology/nominee,']",[],,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10102,['What are the border of High Desert (Oregon)?'],"['http://dbpedia.org/ontology/border,']",[' [        "http://dbpedia.org/ontology/border"    ]'],['1.0'],['1.0'],,,,
10103,['What all is owned by a company one of whose division is Paramount Domestic Television?'],"['http://dbpedia.org/ontology/division,http://dbpedia.org/property/company,']",[' [        "http://dbpedia.org/ontology/division"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
10105,['The authors of Zhorstoke nebo was influenced by whom ?'],"['http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/influencedBy,']",[' [        "http://dbpedia.org/ontology/previousWork"    ]'],['0.5'],['1.0'],,,,
10106,['Name the largest city in the county where there is a Cy-Fair High School.'],"['http://dbpedia.org/ontology/county,http://dbpedia.org/ontology/largestCity,']",[' [        "http://dbpedia.org/ontology/city"    ]'],['0.5'],['1.0'],,,,
10107,['Name the common associate band of Blayse and Teddy Riley ?'],"['http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/ontology/associatedBand,']","[' [        ""http://dbpedia.org/ontology/producer"",         ""http://dbpedia.org/ontology/associatedMusicalArtist""    ]']",['0.0'],['0.0'],,,,
10108,['Who is the performer of album which has the song "To Where You Are" ?'],"['http://dbpedia.org/ontology/album,http://dbpedia.org/ontology/artist,']",[' [        "http://dbpedia.org/ontology/album"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10114,['What is the leader name of the settlements whose governing body is Municipal council?'],"['http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/Settlement,']",[' [        "http://dbpedia.org/ontology/governingBody"    ]'],['1.0'],['1.0'],,,,
10115,['What is the major shrine of Jacques-Dsir Laval ?'],"['http://dbpedia.org/ontology/majorShrine,']",[],,,,,,
10116,['Count the number of actors in Lucy Sullivan Is Getting Married.'],"['http://dbpedia.org/property/starring,']",[],,,,,,
10117,['To which series does the character of Londo Mollari belong?'],"['http://dbpedia.org/ontology/series,']",[' [        "http://dbpedia.org/ontology/series"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
10119,['Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country?'],"['http://dbpedia.org/ontology/locationCountry,http://dbpedia.org/ontology/locationCountry,']","[' [        ""http://dbpedia.org/ontology/locationCountry"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['1.0'],['1.0'],,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10123,['Who are the politicians whose death place is Ontario?'],"['http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Politician,']",[' [        "http://dbpedia.org/property/deathPlace"    ]'],['0.5'],['1.0'],,,,
10124,['Does the US route 281 have a junction at San Antonio?'],"['http://dbpedia.org/property/junction,']",[],,,,,,
10125,['Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull?'],"['http://dbpedia.org/ontology/product,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/ontology/Company,']","[' [        ""http://dbpedia.org/ontology/product"",         ""http://dbpedia.org/ontology/keyPerson""    ]']",['1.0'],['1.0'],,,,
10126,['Give me a count of royalties buried in Rome ?'],"['http://dbpedia.org/property/placeOfBurial,http://dbpedia.org/ontology/Royalty,']",[],,,,,,
10127,['What is the route junction of Rhode Island Route 15 ?'],"['http://dbpedia.org/ontology/routeJunction,']",[' [        "http://dbpedia.org/ontology/routeJunction"    ]'],['1.0'],['1.0'],,,,
10128,['Which executive producer of the ultimate merger is also an important person at Trump Productions?'],"['http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/keyPerson,']","[' [        ""http://dbpedia.org/ontology/producer"",         ""http://dbpedia.org/ontology/executiveProducer""    ]']",['0.5'],['0.5'],,,,
10129,['Is KOMC-FM the sister station of KOMC (AM)?'],"['http://dbpedia.org/ontology/sisterStation,']",[' [        "http://dbpedia.org/ontology/sisterStation"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
10131,['Which awards are presented by Swedish Academy?'],"['http://dbpedia.org/ontology/presenter,http://dbpedia.org/ontology/Award,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['0.0'],['0.0'],,,,
10132,['List the awards won by the fashion designer which have been recognized by Tennessee State Museum ?'],"['http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/FashionDesigner,']","[' [        ""http://dbpedia.org/ontology/award"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['1.0'],['1.0'],,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10137,["How many people are known for Dragons' Den?"],"['http://dbpedia.org/ontology/knownFor,']",[' [        "http://dbpedia.org/property/country"    ]'],['0.0'],['0.0'],,,,
,,,,,,,,,
10139,['In which state is the Channel district?'],"['http://dbpedia.org/ontology/state,']",[' [        "http://dbpedia.org/ontology/district"    ]'],['0.0'],['0.0'],,,,
10140,['Name the religious affiliation of Vagif Aliyev ?'],"['http://dbpedia.org/ontology/religion,']",[' [        "http://dbpedia.org/ontology/occupation"    ]'],['0.0'],['0.0'],,,,
10141,['Count the number of characters of the play whose one of the character is Catwoman ?'],"['http://dbpedia.org/property/characters,http://dbpedia.org/property/characters,']",[],,,,,,
10142,['Is Bacillus belong to the domain Bacteria?'],"['http://dbpedia.org/property/domain,']",[' [        "http://dbpedia.org/ontology/domain"    ]'],['0.5'],['1.0'],,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10146,['How many writers speak a language belonging to the Germanic kind of languages?'],"['http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/property/language,http://dbpedia.org/ontology/Writer,']","[' [        ""http://dbpedia.org/property/language"",         ""http://dbpedia.org/ontology/language""    ]']",['0.5'],['0.5'],,,,
,,,,,,,,,
,,,,,,,,,
10149,['How many maintainers are there of the bridges that can carry motor vehicles over them?'],"['http://dbpedia.org/property/carries,http://dbpedia.org/ontology/maintainedBy,']",[],,,,,,
,,,,,,,,,
10151,['What city is the residence of Cheryl Teigs?'],"['http://dbpedia.org/ontology/residence,']",[' [        "http://dbpedia.org/ontology/residence"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
10153,['Name the nearest city to  Lake Victoria?'],"['http://dbpedia.org/ontology/nearestCity,']",[' [        "http://dbpedia.org/ontology/nearestCity"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
10155,['Eric roth wrote how many screenplays?'],"['http://dbpedia.org/property/screenplay,']",[],,,,,,
10156,['How many have been awarded by the Royal Society?'],"['http://dbpedia.org/property/awards,']",[],,,,,,
10157,['Who are the opponents of Gervase Helwys?'],"['http://dbpedia.org/ontology/opponent,']",[' [        "http://dbpedia.org/ontology/opponent"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
10159,["Which magazine's publisher is Jann Wenner and founded by Ralph J. Gleason?"],"['http://dbpedia.org/ontology/publisher,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Magazine,']","[' [        ""http://dbpedia.org/ontology/publisher"",         ""http://dbpedia.org/ontology/foundedBy""    ]']",['0.5'],['0.5'],,,,
10160,["Which television show's network  is BBC HD and is related to Doctor Who Confidential?"],"['http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/related,http://dbpedia.org/ontology/TelevisionShow,']","[' [        ""http://dbpedia.org/ontology/network"",         ""http://dbpedia.org/ontology/related""    ]']",['1.0'],['1.0'],,,,
10161,['What is the life stance of the ethnic groups related to Micronesia ?'],"['http://dbpedia.org/ontology/related,http://dbpedia.org/ontology/religion,http://dbpedia.org/ontology/EthnicGroup,']",[' [        "http://dbpedia.org/ontology/related"    ]'],['1.0'],['1.0'],,,,
10162,['What is the magazine which have been  founded by Ralph J. Gleason?'],"['http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Magazine,']",[' [        "http://dbpedia.org/ontology/foundedBy"    ]'],['0.0'],['0.0'],,,,
10163,['Which river ends at  Thames Estuary and North Sea?'],"['http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/River,']","[' [        ""http://dbpedia.org/ontology/riverMouth"",         ""http://dbpedia.org/property/country""    ]']",['1.0'],['1.0'],,,,
10164,['Count the number of sports team members  which have player named Matt Williams ?'],"['http://dbpedia.org/property/name,http://dbpedia.org/property/name,']",[],,,,,,
10165,['How many other awards have been given to people who have won the Golden Globe?'],"['http://dbpedia.org/ontology/award,http://dbpedia.org/property/awards,http://dbpedia.org/ontology/Award,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['1.0'],['1.0'],,,,
10166,["Does Mr. Jim's Pizza operate in the pizza industry?"],"['http://dbpedia.org/ontology/industry,']",[' [        "http://dbpedia.org/ontology/industry"    ]'],['1.0'],['1.0'],,,,
10167,['How many other field are there of the scientists whose one of the field is Mathematics ?'],"['http://dbpedia.org/ontology/field,http://dbpedia.org/ontology/field,']","[' [        ""http://dbpedia.org/ontology/field"",         ""http://dbpedia.org/property/field""    ]']",['1.0'],['1.0'],,,,
10168,['Who had  Joe Purcell and Winston Bryant as lieutenants ?'],"['http://dbpedia.org/ontology/lieutenant,http://dbpedia.org/ontology/lieutenant,']","[' [        ""http://dbpedia.org/ontology/lieutenant"",         ""http://dbpedia.org/ontology/militaryBranch""    ]']",['1.0'],['1.0'],,,,
,,,,,,,,,
10170,['How many sports are played in organizations presided by Emanuel de Guzman?'],"['http://dbpedia.org/ontology/president,http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/Sport,']",[' [        "http://dbpedia.org/ontology/keyPerson"    ]'],['0.0'],['0.0'],,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10176,['Name few companies founded in Texas?'],"['http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/ontology/Company,']",[' [        "http://dbpedia.org/property/party"    ]'],['0.0'],['0.0'],,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10182,['Does chicago own the washington station on the CTA Blue Line?'],"['http://dbpedia.org/property/owned,']",[],,,,,,
10183,['Give the distinct number of other party of the people which have one of the party as Janata Party ?'],"['http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/otherParty,']","[' [        ""http://dbpedia.org/ontology/party"",         ""http://dbpedia.org/property/party""    ]']",['0.666666666667'],['1.0'],,,,
